status,prazo,dias_restantes,compatibilidade,score,uf,titulo,salario,vagas,inscricoes,provas_etapas,motivo_relevancia,fonte,link_oficial,link_fonte,primeira_deteccao,ultima_alteracao,notificado_em
ENCERRA HOJE,2026-09-24,0,Boa,9,MS,Prefeitura de Paranaíba (MS) divulga processo seletivo com 22 vagas,"R$ 1.719,25","22 vagas, cadastro reserva, 400 vagas","As inscrições deverão ser feitas entre os dias 22 e 24 de setembro de 2026, sem cobrança de taxa de participação.",,crbio,Concursos no Brasil,https://diariooficialms.com.br/assomasul,https://concursosnobrasil.com/concursos/ms/2026/09/22/prefeitura-de-paranaiba-ms-divulga-processo-seletivo-com-22-vagas,2026-09-22T23:41:20.271418+00:00,2026-09-22T23:41:20.271418+00:00,2026-09-22T23:41:22.030397+00:00
ENCERRA EM ATÉ 3 DIAS,2026-09-25,1,Alta,12,GO,Prefeitura de Hidrolina - GO abre concurso com vagas imediatas e cadastro de reserva,"R$ 3.847,97","cadastro de reserva, 2 vagas, 6 vagas",Os pedidos de isenção podem ser feitos até o dia 25 de setembro de 2026 para inscritos no CadÚnico e para famílias de baixa renda.,A aplicação das provas objetivas está prevista para o dia 6 de dezembro de 2026.,"analista ambiental, fiscal ambiental, meio ambiente, professor de ciências",PCI Concursos,https://hidrolina.go.gov.br/,https://www.pciconcursos.com.br/noticias/prefeitura-de-hidrolina-go-abre-concurso-com-vagas-imediatas-e-cadastro-de-reserva,2026-09-23T15:33:35.051308+00:00,2026-09-23T23:50:01.202125+00:00,2026-09-23T23:50:02.952724+00:00
ENCERRA EM ATÉ 3 DIAS,2026-09-25,1,Boa,9,SP,"Prefeitura de Anhembi - SP abre concurso público com salários de até R$ 6.407,17","R$ 6.407,17","cadastro de reserva, 1 vaga, CR",As inscrições estarão abertas das 10h do dia 1º de setembro de 2026 até às 16h do dia 25 de setembro de 2026 pelo site,"A seleção será composta por prova objetiva para todos os cargos, prevista para os dias 11 e 18 de outubro de 2026.","analista de meio ambiente, conservação, meio ambiente, pesquisador",PCI Concursos,https://www.anhembi.sp.gov.br/,https://www.pciconcursos.com.br/noticias/prefeitura-de-anhembi-sp-abre-concurso-publico-com-salarios-de-ate-6407,2026-09-14T01:32:51.154812+00:00,2026-09-22T23:41:20.271448+00:00,2026-09-22T23:41:22.896942+00:00
ENCERRA EM ATÉ 3 DIAS,2026-09-25,1,Boa,9,MS,Prefeitura de Bataguassu (MS) abre edital com 11 vagas para Cuidador e Monitor,"R$ 1.900,00","11 vagas, cadastro de reserva, 22 vagas",As inscrições estão previstas para ocorrer presencialmente no período de 21 a 25 de setembro de 2026.,"A prova objetiva para as duas funções está prevista para 27 de setembro de 2026, das 9h às 11h, na Escola Municipal Marechal Rondon, localizada na Rua Zulmira dos Anjos Costa, número 35, Bairro América, em Bataguassu.",crbio,Concursos no Brasil,https://www.bataguassu.ms.gov.br/processoseletivo/,https://concursosnobrasil.com/concursos/ms/2026/09/23/prefeitura-de-bataguassu-ms-abre-edital-com-11-vagas-para-cuidador-e-monitor,2026-09-23T23:50:01.202205+00:00,2026-09-23T23:50:01.202205+00:00,2026-09-23T23:50:03.813029+00:00
ENCERRA EM ATÉ 3 DIAS,2026-09-25,1,Possível,6,PR,"Prefeitura de Nossa Senhora das Graças - PR abre processo seletivo com salários de até R$ 4.752,95","R$ 4.752,95","95 Oportunidades, cadastro de reserva, 1 vaga","As inscrições serão gratuitas, realizadas presencialmente de 10 a 25 de setembro de 2026, das 8h às 12h e das 13h às 17h, na Sala do Empreendedor localizada na Praça Deputado Nilson Batista Ribas, Centro.",,"analista ambiental, meio ambiente",PCI Concursos,https://nossasenhoradasgracas.pr.gov.br/,https://www.pciconcursos.com.br/noticias/prefeitura-de-nossa-senhora-das-gracas-pr-abre-processo-seletivo-com-salarios-de-ate-4752,2026-09-23T23:50:01.202233+00:00,2026-09-23T23:50:01.202233+00:00,2026-09-23T23:50:04.661675+00:00
ENCERRA EM ATÉ 3 DIAS,2026-09-27,3,Boa,9,SP,"Processo seletivo ADE SAMPA (SP) remunera R$ 4,5 mil para nível superior",R$ 4,cadastro reserva,"As inscrições ficarão abertas entre os dias 21 e 27 de setembro de 2026, com encerramento às 23h59 do último dia.","A prova técnica, que é online, está prevista para 8 de outubro de 2026, das 14h às 17h.",crbio,Concursos no Brasil,https://adesampa.com.br/adeeditais/edital-06-2026-selecao-publica/,https://concursosnobrasil.com/concursos/sp/2026/09/21/processo-seletivo-ade-sampa-sp-remunera-r-45-mil-para-nivel-superior,2026-09-21T17:10:58.180942+00:00,2026-09-21T17:10:58.180942+00:00,2026-09-21T17:11:02.705315+00:00
ENCERRA EM ATÉ 7 DIAS,2026-09-28,4,Boa,10,SP,Prefeitura de Ourinhos - SP abre processo seletivo para professores adjuntos,"R$ 23,95","cadastro de reserva, 100 vagas, 200 vagas","As inscrições devem ser realizadas de 17 de setembro de 2026, às 9h, até 28 de setembro de 2026, às 23h59, pelo site",As provas estão previstas para o dia 1º de novembro de 2026.,"crbio, pesquisador",PCI Concursos,https://www.ourinhos.sp.gov.br/,https://www.pciconcursos.com.br/noticias/prefeitura-de-ourinhos-sp-abre-processo-seletivo-para-professores-adjuntos,2026-09-21T17:10:58.180952+00:00,2026-09-21T17:10:58.180952+00:00,2026-09-21T17:11:03.605640+00:00
ABERTO - ATÉ 30 DIAS,2026-10-02,8,Boa,10,,UNESP abre concursos para professores substitutos em Ilha Solteira,"R$ 2.106,04 a R$ 3.511,90","1 vaga, 4 vagas, cadastro de reserva","As inscrições estarão abertas das 9h do dia 18 de setembro de 2026 às 17h do dia 2 de outubro de 2026, pelo site",,"crbio, pesquisador",PCI Concursos,https://www.unesp.br/,https://www.pciconcursos.com.br/noticias/unesp-abre-concursos-para-professores-substitutos-em-ilha-solteira,2026-09-21T17:10:58.180963+00:00,2026-09-21T17:10:58.180963+00:00,2026-09-21T17:11:04.509724+00:00
ABERTO - ATÉ 30 DIAS,2026-10-02,8,Boa,9,MG,"Prefeitura de Dores do Indaiá - MG retifica edital de concurso público com salários de até R$ 18.702,17","R$ 18.702,17","17 Oportunidades, 158 vagas, 2 vagas","As inscrições deverão ser realizadas no período de 2 de setembro de 2026, às 9h, até 2 de outubro de 2026, às 16h, pelo site",As provas objetivas têm aplicação prevista para o dia 1º de novembro de 2026.,"analista ambiental, fiscal ambiental, meio ambiente",PCI Concursos,https://www.doresdoindaia.mg.gov.br/,https://www.pciconcursos.com.br/noticias/prefeitura-de-dores-do-indaia-mg-retifica-edital-de-concurso-publico-com-salarios-de-ate-18702,2026-09-14T01:32:51.154833+00:00,2026-09-23T23:50:01.202266+00:00,2026-09-23T23:50:05.531498+00:00
ABERTO - ATÉ 30 DIAS,2026-10-02,8,Possível,6,MG,Prefeitura de Carmo da Mata - MG divulga retificação de concurso público,"R$ 3.886,53","cadastro de reserva, 2 vagas, 1 vaga","As inscrições poderão ser realizadas do dia 2 de setembro de 2026, às 10h, até 2 de outubro de 2026, às 16h, pelo site","Candidatos que comprovarem insuficiência financeira poderão solicitar isenção do pagamento da taxa no período entre as 10h do dia 2 de setembro de 2026 e as 16h do dia 8 de setembro de 2026, pelo site do processo seletivo.","fiscal ambiental, meio ambiente",PCI Concursos,https://www.carmodamata.mg.gov.br/,https://www.pciconcursos.com.br/noticias/prefeitura-de-carmo-da-mata-mg-divulga-retificacao-de-concurso-publico,2026-09-14T01:32:51.154821+00:00,2026-09-23T23:50:01.202309+00:00,2026-09-23T23:50:06.393696+00:00
